title,company,location,minsalary,maxsalary,link
机械工程师（临港）,上海科技绿洲发展有限公司,上海,10000.0,15000.0,http://jobs.51job.com/shanghai/95850660.html?s=01&t=0
液压机械工程师,上海盟松液压机电有限公司,上海-嘉定区,4900.0,9900.0,http://jobs.51job.com/shanghai-jdq/60417917.html?s=01&t=0
机械工程师,上海孚在道进出口贸易有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/89125091.html?s=01&t=0
机械工程师,上海牧森自动化设备有限公司,上海-奉贤区,6000.0,10000.0,http://jobs.51job.com/shanghai-fxq/38398429.html?s=01&t=0
自动化机械工程师,上海葆专自动化科技有限公司,上海-嘉定区,6000.0,8000.0,http://jobs.51job.com/shanghai-jdq/89117637.html?s=01&t=0
机械工程师（工作地点：无锡）,上海领检科技有限公司,异地招聘,6000.0,8000.0,http://jobs.51job.com/wuxi/97642514.html?s=01&t=0
机械工程师（应届生亦可）,上海圣顿自动化技术有限公司,上海-黄浦区,4000.0,8000.0,http://jobs.51job.com/shanghai-hpq/86512128.html?s=01&t=0
机械工程师（计量）,上海飞奥燃气设备有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/97491411.html?s=01&t=0
机械工程师,上海新上化高分子材料有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/97287000.html?s=01&t=0
机械工程师,上海宝华威热处理设备有限公司,上海-奉贤区,4000.0,8000.0,http://jobs.51job.com/shanghai-fxq/89642565.html?s=01&t=0
机械工程师,帝尉龙贸易（上海）有限公司,上海-嘉定区,6000.0,8000.0,http://jobs.51job.com/shanghai-jdq/69892136.html?s=01&t=0
机械工程师,因康热处理设备（上海）有限公司,上海-闵行区,3000.0,4500.0,http://jobs.51job.com/shanghai-mhq/97713028.html?s=01&t=0
机械工程师,上海秀卓自动化设备有限公司,上海-闵行区,5000.0,15000.0,http://jobs.51job.com/shanghai-mhq/55302542.html?s=01&t=0
机械工程师,上海施途化工科技有限公司,上海-松江区,5000.0,8000.0,http://jobs.51job.com/shanghai-sjq/92810977.html?s=01&t=0
机械工程师,上海诺斯清生物科技有限公司,上海,10000.0,15000.0,http://apon.51job.com/sc/show_job_detail.php?jobid=85254018
机械工程师,上海城邦自动化设备有限公司,上海,6000.0,10000.0,http://jobs.51job.com/shanghai/88069496.html?s=01&t=0
机械工程师,上海乾曜光学科技有限公司,上海-嘉定区,7000.0,10000.0,http://jobs.51job.com/shanghai-jdq/76285138.html?s=01&t=0
高级机械工程师,法垄热工技术（上海）有限公司,上海-奉贤区,12000.0,15000.0,http://jobs.51job.com/shanghai-fxq/79326619.html?s=01&t=0
中级机械工程师-配套系统组件研发,上海恒劲动力科技有限公司,上海-浦东新区,10000.0,20000.0,http://jobs.51job.com/shanghai-pdxq/96711972.html?s=01&t=0
机械工程师,上海好德机械设备有限公司,上海-嘉定区,6000.0,8000.0,http://jobs.51job.com/shanghai-jdq/84958780.html?s=01&t=0
研发机械工程师,上海雄博精密仪器股份有限公司,上海-宝山区,4000.0,10000.0,http://jobs.51job.com/shanghai-bsq/88647420.html?s=01&t=0
机械工程师,上海添佶轴承科技有限公司,上海-闵行区,4900.0,7300.0,http://jobs.51job.com/shanghai-mhq/74250893.html?s=01&t=0
机械工程师,上海东新冶金技术工程有限公司,上海-宝山区,5000.0,10000.0,http://jobs.51job.com/shanghai-bsq/97684476.html?s=01&t=0
机械工程师,上海真可行自动化设备有限公司,上海,8000.0,10000.0,http://jobs.51job.com/shanghai/66056911.html?s=01&t=0
机械工程师,上海雷瓦信息技术有限公司,上海-松江区,6000.0,10000.0,http://jobs.51job.com/shanghai-sjq/65755595.html?s=01&t=0
机械工程师,易觉汽车科技（上海）有限公司,上海-嘉定区,8000.0,10000.0,http://jobs.51job.com/shanghai-jdq/72632893.html?s=01&t=0
机械工程师 应届生亦可180121,上海如创网络技术有限公司,上海,6000.0,8000.0,http://jobs.51job.com/shanghai/97995825.html?s=01&t=0
汽车机械工程师 应届生亦可180121w,上海升斯电子科技有限公司,上海-徐汇区,6000.0,8000.0,http://jobs.51job.com/shanghai-xhq/97995895.html?s=01&t=0
机械工程师,上海凯恒电子科技有限公司,上海,4500.0,6000.0,http://jobs.51job.com/shanghai/68147095.html?s=01&t=0
机械设计助理/机械工程师/工业产品设计,上海真空泵厂有限公司,上海-青浦区,4500.0,6000.0,http://jobs.51job.com/shanghai-qpq/94045349.html?s=01&t=0
机械工程师,瑞轻汽车装备制造（昆山）有限公司,上海-青浦区,833.33,1250.0,http://jobs.51job.com/shanghai-qpq/91513792.html?s=01&t=0
机械工程师/设计工程师/技术研发工程师/工艺工程师,上海齐绘机电科技有限公司（齐迈五金）,上海-闵行区,5000.0,9000.0,http://jobs.51job.com/shanghai-mhq/85857512.html?s=01&t=0
机械工程师,上海越科新材料股份有限公司,上海-闵行区,8000.0,10000.0,http://jobs.51job.com/shanghai-mhq/85181415.html?s=01&t=0
机械工程师-设计工程师-技术研发工程师-工艺工程师,上海利迈国际贸易有限公司,上海-闵行区,5000.0,10000.0,http://jobs.51job.com/shanghai-mhq/74605722.html?s=01&t=0
机械工程师（工程部）,上海兰宝环保科技有限公司,上海,833.33,2083.33,http://jobs.51job.com/shanghai/97986989.html?s=01&t=0
