title	company	area	minsalary	maxsalary	hyperlink	welfare	details	loc
机械工程师	上海富山精密机械科技有限公司	上海	5000	10000	http://jobs.51job.com/shanghai/89377956.html?s=01=0	"五险一金
餐饮补贴
绩效奖金
年终奖金
免费食宿
做五休二"	岗位职责1、缝纫机机械结构、机械部件的设计、材料选用；2、缝纫机技术改进、新技术开发；3、整理技术文献编写技术文档；任职资格1、机械制造专业，大专及以上学历；2、2年以上设计工作经历，有缝纫机行业设计经验优先录用；3、熟悉机械原理，精通计算机辅助设计；4、工作认真负责，严谨细致，有良好的创新精神和团队精神；薪资待遇1、薪酬=工资（5000元-15000元）+项目奖金+年终奖+十四薪+五险一金+免费食宿2、公司提供施展才华的公平晋升平台，欢迎有机械研发热情的同仁加入！3、八小时工作制，做五休二，享受国家法定节假日带薪休假；4、公司提供免费食宿及良好的工作生活环境；	上海市金山区朱泾工业区中达路８００号
Mechanical Engineer/ 机械工程师(方案中心)	Schenck China（SCCN）- FTS	上海-宝山区			http://jobs.51job.com/shanghai-bsq/93722303.html?s=01=0	"五险一金
补充医疗保险
免费班车
员工旅游
交通补贴
餐饮补贴
年终奖金
弹性工作
定期体检
通讯补贴"	"岗位职责 Job Responsibility：*能够独立地为产品和元件提供建设性方案 / Independent and constructive solution-making for products and components;*完成所有必要的技术文件，如物料清单，图纸，液压方案，循环时间表和布置图，保证准确性，及时性/Completion of all necessary technical documents like bill of materials, drawings, hydraulic schemes, cycle time diagram and layouts, responsible for the accuracy, timeliness* 做风险分析并对比不同理念的差别Making risk analysis and comparing difference of various concepts;*参与复杂的装配和成品的调试/ Involving in the complicate assembly and commissioning of final products;*运用相关的技术能力解决客户的疑问/Dealing with inquiries from customers  by using the related technical ability ;* 能够进行机械理念的陈述，培训和实施/Using the ability to make presentation, training and implementation of the mechanical concept*现场安装和装配的问题诊断/Problem shooting for onsite installation and assembling.*找到合适的本地替代零件/Find suitable local parts for substitute;*开发有资质的供应商/Qualified vendor development;*愿意发现客户的需求/Willing to find what the customer need;*有物料成本和质量控制的意识/ Awareness of the material cost and quality control.* Necessary sample testing and technical reporting*确保BOM及SAP数据的准确性以确保FTS标准化流程的有效性/ Be responsible for the high quality of the BOM and SAP data to ensure the effectiveness of the FTS standard workflow;*必要的样品测试和技术报告/Others technical support or related engineering work for engineering department  and FTS BU;岗位要求 Job Requirements:本科及以上学历，机械设计、机械自动化或机械工程相关专业Bachelor degree or above, major in mechanical design, manufacturing automation or mechanical engineering3年以上相关工作经验More than 3 years related working experiences熟练使用Solidworks, Auto CAD, CATIA等软件；熟练绘制工程图纸，有公差知识。熟悉气动液压自控系统；熟悉齿轮传动，会使用SAP更佳；Good skill in using Solidworks , Auto CAD, CATIA, good at drawing, rich experience and knowledge of tolerance.  familiar with pneumatic -hydraulic and auto-control system, good at gear transmission SAP skill is a plus具有良好的英语听说读写能力；英语4级或以上;CET-4 or above in English, with good oral and written English;良好的沟通能力Excellent communication skills;"	宝山区丰翔路1111号
Mechanical Engineer / 机械工程师	Schenck China（SCCN）- DAP	上海-宝山区			http://jobs.51job.com/shanghai-bsq/88746199.html?s=01=0	"五险一金
补充医疗保险
免费班车
员工旅游
交通补贴"	"岗位职责：1、开项目会之前了解销售与客户所签订的技术协议及相关文件等内容。理清供货范围及技术要点，如有问题在开项目会及项目实施过程中以书面形式提出，并得到相关人员书面确认。参与论证、评审等工作。2、负责项目设计，制图等；出设备地坑图及设备布置图。地坑图及设备布置图经项目经理通过客户确认。出相关文档及存档等。3、负责编制产品所需材料、 配套件、标准件的明细表，在SAP中生成项目设备物料及物料清单。负责解决物料，及图纸修改，更新等工作。4、配合生产供应部的生产和产品零部件的采购工作。配合外协做好相应的产品试制和生产工作。与其他部门配合的相关工作。岗位要求1、	具有三年及以上机械设计工作经验2、	本科学历，机械相关专业3、	熟练运用Solidworks设计软件4、	熟悉非标自动化机械设备的设计开发流程5、	对机械加工方面要求有一定的认识，熟悉常用的加工方法、加工工艺6、	对气控、液压方面有一定的设计和应用能力7、	能够对现场装配、调试进行相关指导，或者作业指导书的编写8、	具有机床及机械自动化方面工作经验者优先"	宝山区丰翔路1111号
Mechanical Engineer（Wheel）/ 机械工程师（轮胎线）	Schenck China（SCCN）- BDS	上海-宝山区			http://jobs.51job.com/shanghai-bsq/86336877.html?s=01=0	"五险一金
补充医疗保险
免费班车
员工旅游
交通补贴
年终奖金
专业培训
定期体检
生日津贴
弹性工作"	任职要求：1、机械专业本科学历 2、2年及以上车轮总装生产线相关自动化设备设计及项目管理经验3、熟悉车轮总装线各工位设备的功能及工作原理4、有非标装配线、流水线等自动化设备经验的，能单独开发非标设备。5、能熟练使用Solidworks，AutoCAD及office办公软件6、良好的英文书面和口头沟通能力 工作内容：1、运用SolidWorks、AutoCAD 等计算机辅助设计软件制作设计文件进行基本结构设计、非标设计、夹具设计 2、设备流程图、设备现场布局图的制作和装配图绘制 3、采购件选型 4、设计成本控制、任务规划表、液压原理图 5、设计评审，进行成本预估 6、编写说明书等	宝山区丰翔路1111号
机械工程师	聚民生物科技有限公司	上海	10000	12000	http://jobs.51job.com/shanghai/98375397.html?s=01=0	"年终奖金
补充医疗保险
员工旅游
专业培训
餐饮补贴
五险一金
定期体检"	任职资格：1具有本科学历，机械设计与自动化专业，英语沟通流利。2三年以上工作经验，医疗器械行业优先。工作内容：   1机械设计工作。   2机械设备的自动化改造。   3机械设备的风险控制与管理。   4与国外客户的日常沟通。职位权限：   1确保设计文件的具备。   2确保更改的过程满足设计需要.   3确保风险管理报告的更新。   4确保技术文件等规范的更新和适用。   5确保国外客户的沟通已经在内部进行沟通和解决。薪资福利：  1.免费提供住宿、工作餐，住宿免水、电费。          2.每月发放的生活用品，节假日发放购物券。        3.每月中旬发放工资，按国家国定缴纳社保，发放年终奖和工龄补贴（15-150元）  4.享受年休假、婚、产、丧等带薪休假。	上海市奉贤区沪杭公路1888号
机械工程师---新能源电机	纳瑞盛（上海）实业有限公司	上海-嘉定区	10000	25000	http://jobs.51job.com/shanghai-jdq/91611217.html?s=01=0	"五险一金
员工旅游
绩效奖金
专业培训
餐饮补贴"	机械工程师：    1、与客户沟通，确认并细化项目需求；2、参与制作项目方案；3、完成设备三维建模、工程图、BOM表，4、协调项目组成员共同完成工作；5、整理并撰写各类技术文档。6、熟悉物流分拣中心、物流输送、立体仓库方案规划设计或汽车零配、新能源电机线规划优先录用岗位要求：1、两年以上工作经验，机械相关专业，本科学历；2、能准确理解和把握设计需求，独立开发新产品，并具备较强创新性设计能力；3、熟练使用机械设计软件，如：Inventor、Solidworks、AutoCAD；4、有非标自动化生产线，非标自动化设备设计经验的优先；5、有责任心，性格开朗，具备较好的沟通能力，团队合作能力，工作态度积极	上海市嘉定开发区兴文路1399号
机械工程师	埃克科林机械（上海）有限公司	上海-宝山区	8000	12000	http://jobs.51job.com/shanghai-bsq/93818113.html?s=01=0		"*负责设备机械方案的制定，机械图纸的设计、修改及审核，确保设计中目标成本的最优控制。  Be responsible for mechanical scheme formulation, mechanical drawings design, modification and audit. Ensure optimum   control of target cost in design.*负责BOM的编制及审核工作。  Be responsible for the establishment and audit of BOM.*负责选型产品所需零配件，并制作相关明细清单，及时录入SAP系统。  Be responsible for choosing spare parts that products need, establishing related inventory and recording into SAP system.*配合资料管理人员做好文档的归档工作。  Cooperate with materials administrative staff to pigeonhole files.* 负责产品创新和专利的申报  Be responsible for product innovation and patent declaration.*了解客户的需求，理清相关技术要点，协助销售人员为客户提供产品相关技术资料，包括机械配置方案、技术参数、操作说明书、图纸等，并参与技术条款的完善与评审工作。  Understand customers’ need, figure out related technical points, assist sales to provide customers with product technical materials, including mechanical configuration schemes, technical parameters, handle specifications, drawings, etc. and participate in the work about perfection and assessment of technical terms. *协助处理设备在生产制造、安装调试期间出现的各种问题，提供相关技术支持，并不断完善设计方案，以确保方案最优化。  Assist to solve the problems occurred during equipment manufacturing and installation and debugging, provide technical support and perfect designing scheme constantly, so to ensure scheme optimization.*协助采购部门完成生产过程中的零部件采购工作。  Assist purchasing dept. to complete spare parts purchasing work during the production.本科及以上学历，机械相关专业;?Bachelor degree or above, major in mechanical or related.2年以上相关工作经验;?More than 2 years related working experiences.熟练使用Solidworks, Auto CAD等软件；会使用SAP更佳；?Good skills in using Solidworks, Auto CAD, SAP skill is a plus.具有良好的英语听说读写能力；英语4级或以上;?CET-4 or above in English, with good oral and written English.良好的沟通能力.?Excellent communication skills."	丰翔路 1111号
机械工程师	上海优爱宝智能机器人科技股份有限公司	上海-浦东新区	8000	15000	http://jobs.51job.com/shanghai-pdxq/60664591.html?s=01=0		工作职责：1．负责机电一体化产品、零部件的开发、设计（主要是机械部分）研制、鉴定，负责新产品的策划，风险评估和总体设计；2．负责工业自动化与非标项目前期机械相关技术方案的制定以及文件的编制；3．负责治具、夹具以及设备的开发设计；绘制产品装配图及零部件图；4．审核新产品方案设计、审核产品设计总图和部件总图、审核产品技术条件、图纸；5．指导技工和技术员完成产品的装配调试、试产，编写操作规程；6．向维修人员讲解机械原理及修理要领；组织实施产品工艺开发、应用和生产现场的技术支持；7．负责组织、协调整个部门内的技术指导工作，或亲自负责其中一个部分的技术工作；8．对产品进行技术攻关和创新，解决产品重大技术关键和薄弱环节；对公司和产品结构负主要技术责任。9．负责现有的工业自动化与非标项目机械设备的结构设计优化与持续改进；10．制定产品的相关技术文件，并对产品技术文件整理归档，撰写机械设备方面专利资料撰写。任职资格1．本科及以上学历，机器人 / 机电一体化或机械设计、自动化等相关专业； 5年以上机电或自动化设计工作经验；2．精通Solidworks，熟悉各类机械加工工艺；3．熟悉机电类产品设计规范和验收规范，熟悉各类机电系统的设计标准；4．具备一定的项目负责、能独立处理研发工作，管理组织和协调能力。5．有较强钻研能力，能自我激励，善于和别人沟通6．熟悉新产品的开发流程，机电结构设计，熟悉常用机械设备的机械系统、液压系统、电气系统的工作原理；熟悉相关行业标准，并能应用于实际产品设计中；7．具有一定电控知识，能对传动、液压、机电一体系统集成设计；能够同时设计相关电子原理图者优先。8．能够根据图纸及技术资料确定相符合的机械产品；9．为人正直，谦虚踏实，责任心强，考虑问题全面，具有团队合作精神及创新意识；10．有多年独立设计研发及制造自动化机械设备的经验，研发能力强，能独立完成高精密、高难度研发设计任务，德才兼备。	秀浦路3188弄28号
机械工程师	鹤见真空工程（上海）有限公司	上海-奉贤区	8333.33	12500	http://jobs.51job.com/shanghai-fxq/98347958.html?s=01=0	"五险一金
员工旅游
通讯补贴
年终奖金
定期体检
交通补贴"	"职责：1)  根据与客户的合同及技术协议，进行真空泵或压缩机机组的详细设计， 包括完善工艺流程图、设计底座、框架、分离器等附件及机组3D布置图，并提交相关技术文件给客户；2) 协调采购确保机组附件的采购及时、准确；要求：1)  大学本科及以上，过程装备与控制、机械工程、机电一体化或其它相关机械专业；2)  AUTOCAD, SOLIDWORKS熟练；3)  3年以上相关工作经验 大学英语4级以上；4)  工作积极、主动，具有良好的沟通能力和团队精神。"	奉贤区航谊路386号
机械工程师（自动化设备）	上海三斯电子电器技术有限公司	上海-嘉定区	8000	13000	http://jobs.51job.com/shanghai-jdq/85901165.html?s=01=0	"五险一金
餐饮补贴
专业培训
绩效奖金
年终奖金"	岗位职责：1、负责客户需要的非标定制类工装夹具设计、生产工艺流程的制定及新工艺、新材料的应用。2、负责并实施产品结构优化、工艺改进、提高产品标准化程度；3、负责对内对外技术沟通、产品验收、技术资料的收集等工作；4、参与产品的试制跟踪、组装调试和售后跟进工作；5、解决产品生产、组装、调试过程中的技术问题；任职要求： 1、机械、电气、液压等专业，专科及以上学历。有扎实的理论知识基础. 2、有3-4年以上机械设计经验，有非标设计经验经验者优先。 担任过项目的主要设计人，4年以上主设经验或能独立完成多种产品设计者优先。 3、熟悉机械制造工艺，了解现场安装，有项目现场管理经验者优先。 4、熟练使用AutoCAD和solidworks等设计软件和常用办公软件。 5、良好的沟通能力和执行能力，工作细致、务实。 6、能够配合售后完成相关产品质量问题的分析，能够适应经常出差的需要。	上海市嘉定区南翔北公路1755弄8号4楼
